category,pub_name,pub_link,author,launch_date,num_subs,sub_rate,top_paid
Business,Category Pirates,https://categorypirates.substack.com/?utm_source=discover,,4 months ago,Hundreds of subscribers,$20/month,True
Business,A Lawyer Writes,https://rozenberg.substack.com/?utm_source=discover,Joshua Rozenberg,9 months ago,Hundreds of subscribers,£4.99/month,True
Business,Blogging Guide,https://bloggingguide.substack.com/?utm_source=discover,Casey Botticello,a year ago,Hundreds of subscribers,$10/month,True
Business,@work,https://atwork.substack.com/?utm_source=discover,Nilofer Merchant,a year ago,Hundreds of subscribers,$5/month,True
Business,L'Atelier Galita,https://www.ateliergalita.com/?utm_source=discover,Nicolas Galita,a year ago,,€8.99/month,True
Business,Checking In with Kat Cole,https://katcole.substack.com/?utm_source=discover,,2 years ago,,$10/month,True
Business,The Snap Forward,https://alexsteffen.substack.com/?utm_source=discover,Alex Steffen,2 months ago,Hundreds of subscribers,$15/month,True
Business,Permission Granted,https://mollygoodson.substack.com/?utm_source=discover,Molly,,Hundreds of subscribers,$5/month,True
Business,RICH + RIOT,https://richandriot.substack.com/?utm_source=discover,,10 months ago,,$20/month,True
Business,Speak Up,https://www.speakupmag.com/?utm_source=discover,,9 months ago,Hundreds of subscribers,$10/month,True
Finance,The Bitcoin Forecast by Willy Woo,https://willywoo.substack.com/?utm_source=discover,,8 months ago,Thousands of subscribers,$50/month,True
Finance,Bankless,https://newsletter.banklesshq.com/?utm_source=discover,,2 years ago,Thousands of subscribers,$22/month,True
Finance,Jonah’s Growth Stocks,https://jonahlupton.substack.com/?utm_source=discover,Jonah Lupton,7 months ago,Thousands of subscribers,$10/month,True
Finance,PETITION,https://petition.substack.com/?utm_source=discover,,3 years ago,Thousands of subscribers,$49/month,True
Finance,The MacroTourist,https://themacrotourist.substack.com/?utm_source=discover,Kevin Muir,2 years ago,Thousands of subscribers,$35/month,True
Finance,Rekt Capital Newsletter,https://rektcapital.substack.com/?utm_source=discover,,a year ago,Thousands of subscribers,$10/month,True
Finance,The Bear Cave,https://thebearcave.substack.com/?utm_source=discover,Edwin Dorsey,a year ago,Hundreds of subscribers,$44/month,True
Finance,The Held Report,https://danheld.substack.com/?utm_source=discover,Dan Held,a year ago,Thousands of subscribers,$15/month,True
Finance,Market Meditations,https://koroushak.substack.com/?utm_source=discover,Koroush AK,9 months ago,Hundreds of subscribers,$17.99/month,True
Finance,Snowball,https://www.snowball.xyz/?utm_source=discover,Yoann Lopez,a year ago,Thousands of subscribers,€6/month,True
Finance,Ironsides Macroeconomics 'It's Never Different This Time',https://ironsidesmacro.substack.com/?utm_source=discover,Barry C. Knapp,2 years ago,Hundreds of subscribers,$89/month,True
Finance,The Lund Loop,https://thelundloop.substack.com/?utm_source=discover,Brian Lund,3 years ago,Hundreds of subscribers,$10/month,True
Finance,Crypto Insights by Blockroots,https://blockroots.substack.com/?utm_source=discover,Canteringclark,2 years ago,Hundreds of subscribers,$19.90/month,True
Finance,DeFi Weekly,https://defiweekly.substack.com/?utm_source=discover,Kerman Kohli,2 years ago,Hundreds of subscribers,$40/month,True
Finance,區塊勢,https://blocktrend.substack.com/?utm_source=discover,許明恩,2 years ago,Hundreds of subscribers,$8/month,True
Finance,Alpha Letter,https://www.alphaletter.co/?utm_source=discover,,4 months ago,Hundreds of subscribers,$10/month,True
Finance,TSOH Investment Research Service,https://thescienceofhitting.substack.com/?utm_source=discover,The Science of Hitting,3 months ago,Hundreds of subscribers,$49/month,True
Finance,Benchmark,https://getbenchmark.substack.com/?utm_source=discover,BitProds,9 months ago,Hundreds of subscribers,$19/month,True
Finance,Backpacker Finance Golden Circle Membership & Newsletter,https://backpackerfi.substack.com/?utm_source=discover,Danny Baldus-Strauss,3 months ago,Hundreds of subscribers,$5/month,True
Finance,Value Investing World,https://valueinvestingworld.substack.com/?utm_source=discover,Joe Koster,a year ago,Hundreds of subscribers,$7/month,True
Finance,The Weekly Update,https://theweeklyupdate.substack.com/?utm_source=discover,Arcane Research,a year ago,Hundreds of subscribers,$15/month,True
Finance,Investment Talk,https://investmenttalk.substack.com/?utm_source=discover,Occasio Capital Ltd,a year ago,Hundreds of subscribers,$15/month,True
Finance,Neckar’s Notes,https://neckar.substack.com/?utm_source=discover,,10 months ago,Hundreds of subscribers,$12/month,True
Finance,Asian Century Stocks,https://www.asiancenturystocks.com/?utm_source=discover,Michael Fritzell,8 months ago,,$30/month,True
Finance,Charts For Freedom,https://chartsforfreedom.substack.com/?utm_source=discover,Trace Busta,a year ago,,$40/month,True
Food & Drink,a newsletter,https://anewsletter.alisoneroman.com/?utm_source=discover,Alison Roman,3 years ago,Thousands of subscribers,$5/month,True
Food & Drink,The Bittman Project,https://www.bittmanproject.com/?utm_source=discover,,6 months ago,Thousands of subscribers,$7/month,True
Food & Drink,Vittles,https://vittles.substack.com/?utm_source=discover,,a year ago,Thousands of subscribers,£4/month,True
Food & Drink,What To Cook When You Don't Feel Like Cooking,https://whattocook.substack.com/?utm_source=discover,caroline chambers,6 months ago,Thousands of subscribers,$5/month,True
Food & Drink,From the Desk of Alicia Kennedy,https://www.aliciakennedy.news/?utm_source=discover,,2 years ago,Thousands of subscribers,$5/month,True
Food & Drink,David Lebovitz Newsletter,https://davidlebovitz.substack.com/?utm_source=discover,,7 months ago,Thousands of subscribers,$5/month,True
Food & Drink,The Department of Salad: Official Bulletin,https://eatsomesalad.substack.com/?utm_source=discover,emily nunn,10 months ago,Hundreds of subscribers,$5.50/month,True
Food & Drink,Dinner: A Love Story,https://dinneralovestory.substack.com/?utm_source=discover,Jenny Rosenstrach,5 months ago,Hundreds of subscribers,$5/month,True
Food & Drink,A Piece of Cake,https://apieceofcake.substack.com/?utm_source=discover,Bill Clark,5 months ago,Hundreds of subscribers,$5/month,True
Food & Drink,Kitchen Projects,https://kitchenprojects.substack.com/?utm_source=discover,Nicola Lamb,8 months ago,Hundreds of subscribers,£5/month,True
Food & Drink,Cocktails With Suderman,https://cocktailswithsuderman.substack.com/?utm_source=discover,Peter Suderman,2 years ago,Hundreds of subscribers,$5/month,True
Food & Drink,illyanna Maisonet's Newsletter,https://eatgordaeat.substack.com/?utm_source=discover,,a year ago,Hundreds of subscribers,$7/month,True
Food & Drink,Stained Page News,https://www.stainedpagenews.com/?utm_source=discover,Paula Forbes,2 years ago,Hundreds of subscribers,$5/month,True
Food & Drink,Wordloaf,https://wordloaf.substack.com/?utm_source=discover,Andrew Janjigian,a year ago,Hundreds of subscribers,$5/month,True
Food & Drink,The Soup,https://shannanmartin.substack.com/?utm_source=discover,Shannan Martin,a year ago,Hundreds of subscribers,$5/month,True
Food & Drink,A Small and Simple Thing,https://brooksreitz.substack.com/?utm_source=discover,Brooks Reitz,9 months ago,Hundreds of subscribers,$5/month,True
Food & Drink,Family Meal,https://familymeal.substack.com/?utm_source=discover,Andrew,3 years ago,Hundreds of subscribers,$5/month,True
Food & Drink,Not Drinking Poison,https://notdrinkingpoison.substack.com/?utm_source=discover,Aaron Ayscough,,Hundreds of subscribers,$7/month,True
Food & Drink,Ómós Digest,https://omos.substack.com/?utm_source=discover,,4 months ago,Hundreds of subscribers,€5/month,True
Food & Drink,The Amateur Gourmet Newsletter,https://amateurgourmet.substack.com/?utm_source=discover,Adam Roberts,4 months ago,Hundreds of subscribers,$5/month,True
Food & Drink,Jane Cooks For You,https://janecooksforyou.substack.com/?utm_source=discover,,3 months ago,Hundreds of subscribers,$5/month,True
Food & Drink,The Edit,https://theedit.elizabethrider.com/?utm_source=discover,Elizabeth Rider,5 months ago,Hundreds of subscribers,$5/month,True
Food & Drink,Asian Foodlore: アジアの食と物語,https://asianfoodloremagazine.substack.com/?utm_source=discover,,4 months ago,Hundreds of subscribers,$5/month,True
Food & Drink,The Jewish Table,https://thejewishtable.substack.com/?utm_source=discover,Leah Koenig,3 months ago,Hundreds of subscribers,$5/month,True
Food & Drink,The Epestle,https://leela.substack.com/?utm_source=discover,Leela Punyaratabandhu,,,$7/month,True
Sports,The Draft Scout,https://www.thedraftscout.com/?utm_source=discover,,6 months ago,Thousands of subscribers,$7/month,True
Sports,Cup of Coffee by Craig Calcaterra,https://cupofcoffee.substack.com/?utm_source=discover,Craig Calcaterra,9 months ago,Thousands of subscribers,$6/month,True
Sports,TrueHoop,https://www.truehoop.com/?utm_source=discover,,2 years ago,Thousands of subscribers,$10/month,True
